date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativePositiveTests,cumulativeNegativeTests,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-04-11,1,2156,0,58,0,189,1.16,0.42000000000000015,6,4190,465,17066,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-12,1,2156,0,58,0,189,1.12,0.41999999999999993,7,4361,486,17482,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-13,1,2156,0,58,0,189,1.1,0.41999999999999993,8,4526,499,18345,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-14,1,2156,0,58,0,189,1.1,0.41999999999999993,8,4687,504,18916,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-15,1,2156,0,58,0,189,1.08,0.41999999999999993,9,4843,517,19286,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-16,1,2156,0,58,0,189,1.06,0.41999999999999993,10,4994,530,20170,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-17,1,2156,0,58,0,189,1.04,0.43999999999999995,10,5141,541,21316,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-18,1,2156,0,58,0,189,1.04,0.41999999999999993,11,5284,553,21790,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-19,1,2156,0,58,0,189,1.02,0.43999999999999995,12,5424,574,22896,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-20,1,2156,0,58,0,189,1.0,0.43999999999999995,12,5559,580,23595,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-21,1,2156,0,58,0,189,1.0,0.41999999999999993,13,5691,584,24112,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-22,1,2156,0,58,0,189,0.98,0.43999999999999995,13,5819,582,24760,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-23,1,2156,0,58,0,189,0.98,0.43999999999999995,14,5943,592,25536,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-24,1,2156,0,58,0,189,0.96,0.43999999999999995,15,6065,596,26291,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-25,1,2156,0,58,0,189,0.9400000000000001,0.45999999999999985,15,6182,601,27439,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-26,1,2156,0,58,0,189,0.9400000000000001,0.43999999999999984,16,6297,603,27880,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-27,1,2156,0,58,0,189,0.9400000000000001,0.45999999999999985,16,6408,606,28404,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-28,1,2156,0,58,0,189,0.9400000000000001,0.45999999999999985,17,6517,607,28576,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-29,1,2156,0,58,0,189,0.9400000000000001,0.45999999999999985,17,6622,609,29009,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-30,1,2156,0,58,0,189,0.92,0.47999999999999987,18,6725,613,30027,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-01,1,2156,0,58,0,189,0.92,0.47999999999999987,18,6824,618,30476,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-02,1,2156,0,58,0,189,0.92,0.47999999999999987,19,6921,619,31366,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-03,1,2156,0,58,0,189,0.92,0.4999999999999999,19,7016,620,32330,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-04,1,2156,0,58,0,189,0.92,0.4999999999999999,20,7107,620,33246,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-05,1,2156,0,58,0,189,0.92,0.4999999999999999,20,7197,621,33378,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-06,1,2156,0,58,0,189,0.92,0.4999999999999999,21,7283,625,34574,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-07,1,2156,0,58,0,189,0.92,0.5199999999999999,21,7368,626,34915,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-08,1,2156,0,58,0,189,0.9,0.5199999999999999,22,7450,629,35989,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-09,1,2156,0,58,0,189,0.9,0.5199999999999999,22,7530,629,35633,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-10,1,2156,0,58,0,189,0.9,0.5199999999999999,22,7607,631,36639,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-11,1,2156,0,58,0,189,0.9,0.5399999999999999,23,7683,632,37051,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-12,0,2156,0,58,0,189,0.9,0.5399999999999999,23,7756,634,37305,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-13,0,2156,0,58,0,189,0.9,0.5399999999999999,24,7828,635,37730,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-14,0,2156,0,58,0,189,nan,nan,24,7897,638,38243,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-15,0,2156,0,58,0,189,0.9,0.5599999999999999,24,7965,637,38139,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-16,0,2156,0,58,0,189,0.9,0.5599999999999999,25,8031,638,40245,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-17,0,2156,0,58,0,189,0.9,0.5599999999999999,25,8095,639,41035,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-18,0,2156,0,58,0,189,0.9,0.5599999999999999,25,8157,640,41405,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-19,0,2156,0,58,0,189,0.9,0.58,26,8217,640,44383,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-20,0,2156,0,58,0,189,0.9,0.58,26,8276,641,45663,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-21,0,2156,0,58,0,189,0.9,0.58,26,8333,643,46506,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-22,0,2156,0,58,0,189,nan,nan,27,8389,647,47338,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-23,0,2156,0,58,0,189,0.9,0.58,27,8443,642,48179,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-24,0,2156,0,58,0,189,0.9,0.58,27,8496,643,48929,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-25,0,2156,0,58,0,189,0.9,0.6,28,8547,643,49728,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-26,0,2156,0,58,0,189,0.9,0.6,28,8596,643,49728,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-27,0,2156,0,58,0,189,0.9,0.6,28,8644,643,50559,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-05-28,0,2156,0,58,0,189,0.9,0.6,28,8690,644,51195,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
