fips,state,country,aggregate_level,can_location_page_url
08105,CO,USA,county,https://covidactnow.org/us/colorado-co/county/rio_grande_county
08107,CO,USA,county,https://covidactnow.org/us/colorado-co/county/routt_county
08109,CO,USA,county,https://covidactnow.org/us/colorado-co/county/saguache_county
08111,CO,USA,county,https://covidactnow.org/us/colorado-co/county/san_juan_county
08113,CO,USA,county,https://covidactnow.org/us/colorado-co/county/san_miguel_county
08115,CO,USA,county,https://covidactnow.org/us/colorado-co/county/sedgwick_county
08117,CO,USA,county,https://covidactnow.org/us/colorado-co/county/summit_county
08119,CO,USA,county,https://covidactnow.org/us/colorado-co/county/teller_county
08121,CO,USA,county,https://covidactnow.org/us/colorado-co/county/washington_county
08123,CO,USA,county,https://covidactnow.org/us/colorado-co/county/weld_county
08125,CO,USA,county,https://covidactnow.org/us/colorado-co/county/yuma_county
09,CT,USA,state,https://covidactnow.org/us/connecticut-ct
09001,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/fairfield_county
09003,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/hartford_county
09005,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/litchfield_county
09007,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/middlesex_county
09009,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/new_haven_county
09011,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/new_london_county
09013,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/tolland_county
09015,CT,USA,county,https://covidactnow.org/us/connecticut-ct/county/windham_county
10,DE,USA,state,https://covidactnow.org/us/delaware-de
10001,DE,USA,county,https://covidactnow.org/us/delaware-de/county/kent_county
10003,DE,USA,county,https://covidactnow.org/us/delaware-de/county/new_castle_county
10005,DE,USA,county,https://covidactnow.org/us/delaware-de/county/sussex_county
11,DC,USA,state,https://covidactnow.org/us/district_of_columbia-dc
11001,DC,USA,county,https://covidactnow.org/us/district_of_columbia-dc/county/district_of_columbia
12,FL,USA,state,https://covidactnow.org/us/florida-fl
12001,FL,USA,county,https://covidactnow.org/us/florida-fl/county/alachua_county
12003,FL,USA,county,https://covidactnow.org/us/florida-fl/county/baker_county
12005,FL,USA,county,https://covidactnow.org/us/florida-fl/county/bay_county
12007,FL,USA,county,https://covidactnow.org/us/florida-fl/county/bradford_county
12009,FL,USA,county,https://covidactnow.org/us/florida-fl/county/brevard_county
12011,FL,USA,county,https://covidactnow.org/us/florida-fl/county/broward_county
12013,FL,USA,county,https://covidactnow.org/us/florida-fl/county/calhoun_county
12015,FL,USA,county,https://covidactnow.org/us/florida-fl/county/charlotte_county
12017,FL,USA,county,https://covidactnow.org/us/florida-fl/county/citrus_county
12019,FL,USA,county,https://covidactnow.org/us/florida-fl/county/clay_county
12021,FL,USA,county,https://covidactnow.org/us/florida-fl/county/collier_county
12023,FL,USA,county,https://covidactnow.org/us/florida-fl/county/columbia_county
12027,FL,USA,county,https://covidactnow.org/us/florida-fl/county/de_soto_county
12029,FL,USA,county,https://covidactnow.org/us/florida-fl/county/dixie_county
12031,FL,USA,county,https://covidactnow.org/us/florida-fl/county/duval_county
12033,FL,USA,county,https://covidactnow.org/us/florida-fl/county/escambia_county
12035,FL,USA,county,https://covidactnow.org/us/florida-fl/county/flagler_county
12037,FL,USA,county,https://covidactnow.org/us/florida-fl/county/franklin_county
12039,FL,USA,county,https://covidactnow.org/us/florida-fl/county/gadsden_county
12041,FL,USA,county,https://covidactnow.org/us/florida-fl/county/gilchrist_county
12043,FL,USA,county,https://covidactnow.org/us/florida-fl/county/glades_county
12045,FL,USA,county,https://covidactnow.org/us/florida-fl/county/gulf_county
12047,FL,USA,county,https://covidactnow.org/us/florida-fl/county/hamilton_county
12049,FL,USA,county,https://covidactnow.org/us/florida-fl/county/hardee_county
12051,FL,USA,county,https://covidactnow.org/us/florida-fl/county/hendry_county
12053,FL,USA,county,https://covidactnow.org/us/florida-fl/county/hernando_county
12055,FL,USA,county,https://covidactnow.org/us/florida-fl/county/highlands_county
12057,FL,USA,county,https://covidactnow.org/us/florida-fl/county/hillsborough_county
12059,FL,USA,county,https://covidactnow.org/us/florida-fl/county/holmes_county
12061,FL,USA,county,https://covidactnow.org/us/florida-fl/county/indian_river_county
12063,FL,USA,county,https://covidactnow.org/us/florida-fl/county/jackson_county
12065,FL,USA,county,https://covidactnow.org/us/florida-fl/county/jefferson_county
12067,FL,USA,county,https://covidactnow.org/us/florida-fl/county/lafayette_county
12069,FL,USA,county,https://covidactnow.org/us/florida-fl/county/lake_county
12071,FL,USA,county,https://covidactnow.org/us/florida-fl/county/lee_county
12073,FL,USA,county,https://covidactnow.org/us/florida-fl/county/leon_county
12075,FL,USA,county,https://covidactnow.org/us/florida-fl/county/levy_county
12077,FL,USA,county,https://covidactnow.org/us/florida-fl/county/liberty_county
