date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-03-31,821,14130,143,991,73,1858,1.5599830016,0.1,559,114936,53506,6728963,48592,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-01,929,14130,178,991,95,1858,1.5089837184000001,0.1,577,136165,62864,6700736,55589,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-02,1053,14130,218,991,119,1858,1.4628917045,0.1,598,160274,73100,6669536,62681,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-03,1195,14130,263,991,147,1858,1.4213983208,0.1,622,187265,84049,6635531,69695,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-04,1354,14130,315,991,179,1858,1.3838068309,0.1,651,217057,95507,6599028,76406,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-05,1528,14130,371,991,214,1858,1.3495392167,0.1,685,249469,107213,6560464,82558,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-06,1716,14130,432,991,252,1858,1.3183133051,0.1,724,284226,118875,6520374,87892,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-07,1917,14130,497,991,292,1858,1.2898399207,0.1,768,320978,130192,6479333,92180,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-08,2126,14130,565,991,335,1858,1.2641531843,0.1,818,359218,140760,6438134,95139,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-09,2339,14130,635,991,378,1858,1.2411397912,0.1,875,398360,150194,6397570,96560,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-10,2552,14130,705,991,422,1858,1.2201565723,0.1,937,437780,158132,6358412,96299,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-11,2760,14130,774,991,465,1858,1.2012589833,0.1,1006,476768,164220,6321395,94328,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-12,2957,14130,840,991,507,1858,1.1840133538,0.1,1080,514588,168087,6287226,90677,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-13,3138,14130,901,991,546,1858,1.1678356563,0.1,1161,550608,169581,6255820,86063,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-14,3298,14130,956,991,581,1858,1.1527141258,0.1,1247,584974,169314,6224821,82696,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-15,3455,14130,1024,991,612,1858,1.1383989669,0.1,1363,618169,168041,6194100,80222,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-16,3591,14130,1085,991,639,1858,1.1245149366,0.1,1485,650462,166191,6163805,78224,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-17,3705,14130,1139,991,661,1858,1.1112723504,0.1,1612,681989,163988,6134008,76494,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-18,3800,14130,1187,991,680,1858,1.0983816887,0.1,1743,712842,161582,6104758,74891,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-19,3877,14130,1229,991,696,1858,1.0853107865,0.1,1879,743059,159049,6076080,73352,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-20,3938,14130,1265,991,709,1858,1.071669726,0.1,2018,772658,156425,6047986,71846,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-21,3985,14130,1296,991,718,1858,1.0570801658,0.1,2159,801648,153735,6020484,70359,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-22,4019,14130,1322,991,725,1858,1.0416803551,0.1,2303,830033,150996,5993578,68880,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-23,4042,14130,1344,991,730,1858,1.0258467791,0.1,2448,857817,148218,5967269,67405,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-24,4054,14130,1362,991,733,1858,1.0094751445,0.1,2595,885000,145412,5941556,65935,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-25,4058,14130,1376,991,734,1858,0.9928700062,0.1,2742,911585,142582,5916437,64469,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-26,4053,14130,1386,991,733,1858,0.9760616246,0.1,2890,937571,139733,5891911,63008,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-27,4041,14130,1393,991,731,1858,0.9590188552000001,0.1,3038,962964,136873,5867973,61554,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-28,4022,14130,1398,991,727,1858,0.9416559599000001,0.1,3186,987760,133999,5844625,60106,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-29,3999,14130,1400,991,722,1858,0.9249908993,0.1,3333,1011975,131133,5821849,58667,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-04-30,3969,14130,1399,991,716,1858,0.9093487306,0.1,3480,1035601,128264,5799653,57237,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-01,3935,14130,1396,991,708,1858,0.8951656985,0.1,3627,1058647,125398,5778028,55816,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-02,3896,14130,1390,991,700,1858,0.8827197189,0.1,3772,1081119,122543,5756966,54406,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-03,3853,14130,1383,991,691,1858,0.8719279853,0.1,3916,1103022,119703,5736461,53008,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-04,3808,14130,1374,991,682,1858,0.8629450885000001,0.1,4059,1124361,116882,5716504,51626,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-05,3761,14130,1364,991,672,1858,0.8556528856000001,0.1,4200,1145136,114069,5697084,50272,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-06,3710,14130,1352,991,661,1858,0.849965992,0.1,4340,1165359,111276,5678195,48937,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-07,3658,14130,1339,991,650,1858,0.8460251311,0.1,4477,1185043,108512,5659830,47617,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-08,3604,14130,1325,991,638,1858,0.8437324566000001,0.1,4613,1204194,105776,5641980,46317,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-09,3548,14130,1310,991,627,1858,0.8427807116,0.1,4747,1222818,103070,5624635,45038,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-10,3491,14130,1293,991,614,1858,0.8426686598,0.1,4879,1240925,100395,5607786,43780,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-11,3432,14130,1276,991,602,1858,0.842888418,0.1,5009,1258524,97756,5591423,42544,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-12,3373,14130,1258,991,590,1858,0.8429257914,0.1,5137,1275622,95152,5575538,41330,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-13,3313,14130,1240,991,577,1858,0.8426337082,0.1,5262,1292231,92586,5560120,40139,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-05-14,3253,14130,1220,991,564,1858,0.8417560953000001,0.1,5386,1308357,90058,5545162,38971,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
