fips,hsa,hsa_name
06045,811,"Mendocino, CA"
06047,737,"Stanislaus (Modesto), CA - Merced, CA"
06049,710,"Shasta (Redding), CA - Trinity, CA"
06051,816,"Inyo, CA - Mono, CA"
06053,751,"Santa Clara (San Jose), CA - Monterey, CA"
06055,746,"Solano (Vallejo), CA - Napa, CA"
06057,753,"Nevada, CA - Sierra, CA"
06059,723,"Los Angeles (Los Angeles), CA - Orange, CA"
06061,709,"Sacramento (Sacramento), CA - Placer, CA"
06063,780,"Lassen, CA - Plumas, CA"
06065,768,"San Bernardino, CA - Riverside (Riverside), CA"
06067,709,"Sacramento (Sacramento), CA - Placer, CA"
06069,751,"Santa Clara (San Jose), CA - Monterey, CA"
06071,768,"San Bernardino, CA - Riverside (Riverside), CA"
06073,774,"San Diego (San Diego), CA - Imperial, CA"
06075,757,"San Francisco (San Francisco), CA - San Mateo, CA"
06077,750,"San Joaquin (Stockton), CA - Calaveras, CA"
06079,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA"
06081,757,"San Francisco (San Francisco), CA - San Mateo, CA"
06083,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA"
06085,751,"Santa Clara (San Jose), CA - Monterey, CA"
06087,802,"Santa Cruz, CA"
06089,710,"Shasta (Redding), CA - Trinity, CA"
06091,753,"Nevada, CA - Sierra, CA"
06093,752,"Jackson (Medford), OR - Josephine, OR"
06095,746,"Solano (Vallejo), CA - Napa, CA"
06097,764,"Sonoma (Santa Rosa), CA - Marin, CA"
06099,737,"Stanislaus (Modesto), CA - Merced, CA"
06101,690,"Sutter (Yuba City), CA - Yuba, CA"
06103,697,"Butte (Chico), CA - Tehama, CA"
06105,710,"Shasta (Redding), CA - Trinity, CA"
06107,789,"Tulare, CA"
06109,737,"Stanislaus (Modesto), CA - Merced, CA"
06111,790,"Ventura, CA"
06113,709,"Sacramento (Sacramento), CA - Placer, CA"
06115,690,"Sutter (Yuba City), CA - Yuba, CA"
08001,688,"Denver (Denver), CO - Jefferson, CO"
08003,731,"Alamosa, CO - Rio Grande, CO"
08005,688,"Denver (Denver), CO - Jefferson, CO"
08007,740,"San Juan, NM - Navajo, AZ"
08009,562,"Grant, KS - Baca, CO"
08011,745,"Otero, CO - Prowers, CO"
08013,795,"Boulder, CO - Broomfield, CO"
08014,795,"Boulder, CO - Broomfield, CO"
08015,786,"Chaffee, CO - Lake, CO"
08017,754,"El Paso (Colorado Springs), CO - Teller, CO"
08019,688,"Denver (Denver), CO - Jefferson, CO"
08021,731,"Alamosa, CO - Rio Grande, CO"
08023,731,"Alamosa, CO - Rio Grande, CO"
08025,745,"Otero, CO - Prowers, CO"
08027,812,"Fremont, CO - Custer, CO"
08029,761,"Montrose, CO - Delta, CO"
08031,688,"Denver (Denver), CO - Jefferson, CO"
08033,740,"San Juan, NM - Navajo, AZ"
08035,688,"Denver (Denver), CO - Jefferson, CO"
08037,711,"Mesa, CO - Garfield, CO"
08039,688,"Denver (Denver), CO - Jefferson, CO"
08041,754,"El Paso (Colorado Springs), CO - Teller, CO"
08043,812,"Fremont, CO - Custer, CO"
08045,711,"Mesa, CO - Garfield, CO"
08047,688,"Denver (Denver), CO - Jefferson, CO"
08049,688,"Denver (Denver), CO - Jefferson, CO"
08051,761,"Montrose, CO - Delta, CO"
08053,761,"Montrose, CO - Delta, CO"
08055,704,"Pueblo (Pueblo), CO - Las Animas, CO"
08057,771,"Albany, WY - Carbon, WY"
08059,688,"Denver (Denver), CO - Jefferson, CO"
08061,745,"Otero, CO - Prowers, CO"
08063,754,"El Paso (Colorado Springs), CO - Teller, CO"
08065,786,"Chaffee, CO - Lake, CO"
08067,740,"San Juan, NM - Navajo, AZ"
08069,796,"Larimer, CO"
08071,704,"Pueblo (Pueblo), CO - Las Animas, CO"
08073,754,"El Paso (Colorado Springs), CO - Teller, CO"
08075,763,"Logan, CO - Phillips, CO"
08077,711,"Mesa, CO - Garfield, CO"
08079,731,"Alamosa, CO - Rio Grande, CO"
08081,735,"Routt, CO - Moffat, CO"
08083,740,"San Juan, NM - Navajo, AZ"
08085,761,"Montrose, CO - Delta, CO"
08087,760,"Weld, CO - Morgan, CO"
08089,745,"Otero, CO - Prowers, CO"
